=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.14 11:03:16 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit BMP388 / BMP390 test
Temp(C),Press(kPa),CalculatedAlt(m)
195.09,22.18,102.02,-0.01
195.20,22.18,102.02,0.07
195.32,22.18,102.02,0.05
195.44,22.18,102.02,0.08
195.57,22.18,102.02,0.09
195.69,22.18,102.02,0.12
195.80,22.18,102.02,0.10
195.92,22.18,102.02,0.06
196.04,22.18,102.02,0.09
196.17,22.18,102.02,0.15
196.29,22.19,102.02,0.16
196.40,22.18,102.02,0.13
196.52,22.18,102.02,0.15
196.64,22.18,102.02,0.14
196.77,22.18,102.02,0.10
196.89,22.18,102.02,0.08
197.01,22.18,102.02,0.09
197.12,22.18,102.02,0.08
197.24,22.18,102.02,0.08
197.37,22.18,102.02,0.02
197.49,22.18,102.02,0.01
197.61,22.18,102.02,-0.02
197.72,22.18,102.02,0.01
197.84,22.18,102.02,-0.02
197.97,22.18,102.02,0.05
198.09,22.18,102.02,0.06
198.21,22.18,102.02,0.06
198.32,22.18,102.02,0.10
198.44,22.18,102.02,0.11
198.57,22.18,102.02,0.13
198.69,22.18,102.02,0.10
198.81,22.18,102.02,0.03
198.92,22.18,102.02,0.02
199.04,22.18,102.02,0.04
199.17,22.18,102.02,0.07
199.29,22.18,102.02,0.02
199.41,22.18,102.02,0.12
199.52,22.18,102.02,0.08
199.64,22.18,102.02,0.15
199.77,22.18,102.02,0.13
199.89,22.18,102.02,0.08
200.01,22.18,102.02,0.04
200.13,22.18,102.02,0.05
200.24,22.18,102.02,-0.02
200.37,22.18,102.02,-0.06
200.49,22.18,102.02,-0.05
200.61,22.18,102.02,0.02
200.73,22.18,102.02,0.06
200.84,22.18,102.02,-0.01
200.97,22.18,102.02,-0.01
201.09,22.18,102.02,0.00
201.21,22.17,102.02,0.12
201.33,22.17,102.02,0.12
201.45,22.17,102.02,0.08
201.57,22.17,102.02,-0.02
201.69,22.17,102.02,0.06
201.81,22.17,102.02,0.07
201.93,22.17,102.02,0.07
202.05,22.17,102.02,0.04
202.17,22.18,102.02,0.03
202.29,22.17,102.02,0.02
202.41,22.17,102.02,0.05
202.53,22.17,102.02,0.06
202.65,22.18,102.02,0.05
202.77,22.18,102.02,0.05
202.89,22.18,102.02,0.12
203.01,22.18,102.02,0.10
203.13,22.18,102.02,0.06
203.25,22.18,102.02,-0.01
203.37,22.18,102.02,-0.06
203.49,22.18,102.02,-0.05
203.61,22.18,102.02,-0.05
203.73,22.18,102.02,-0.08
203.85,22.18,102.02,-0.08
203.98,22.18,102.02,0.01
204.09,22.18,102.02,0.06
204.21,22.17,102.02,0.08
204.33,22.18,102.02,0.14
204.45,22.18,102.02,0.20
204.58,22.18,102.02,0.11
204.69,22.18,102.02,0.09
204.81,22.18,102.02,0.07
204.93,22.17,102.02,0.04
205.05,22.17,102.02,-0.02
205.18,22.17,102.02,0.01
205.29,22.17,102.02,0.01
205.41,22.17,102.02,0.06
205.53,22.17,102.02,0.08
205.65,22.17,102.02,0.08
205.78,22.17,102.02,0.03
205.89,22.17,102.02,0.09
206.01,22.17,102.02,0.06
206.13,22.17,102.02,0.10
206.25,22.17,102.02,0.05
206.38,22.17,102.02,0.10
206.49,22.17,102.02,0.15
206.61,22.17,102.02,0.16
206.73,22.17,102.02,0.15
206.85,22.17,102.02,0.10
206.98,22.17,102.02,0.10
207.10,22.17,102.02,0.08
207.21,22.17,102.02,0.14
207.33,22.17,102.02,0.06
207.45,22.17,102.02,0.07
207.58,22.17,102.02,0.16
207.70,22.17,102.02,0.14
207.81,22.17,102.02,0.15
207.93,22.17,102.02,0.14
208.05,22.17,102.02,0.14
208.18,22.17,102.02,0.08
208.30,22.17,102.02,0.13
208.41,22.17,102.02,0.13
208.53,22.17,102.02,0.15
208.65,22.17,102.02,0.15
208.78,22.17,102.02,0.19
208.90,22.17,102.02,0.17
209.01,22.17,102.02,0.20
209.13,22.17,102.02,0.16
209.25,22.17,102.02,0.19
209.38,22.17,102.02,0.21
209.50,22.17,102.02,0.22
209.61,22.17,102.02,0.14
209.73,22.17,102.02,0.11
209.85,22.17,102.02,0.11
209.98,22.17,102.02,0.02
210.10,22.17,102.02,0.09
210.22,22.17,102.02,0.09
210.33,22.17,102.02,0.10
210.45,22.17,102.02,0.10
210.58,22.17,102.02,0.07
210.70,22.17,102.02,0.09
210.82,22.17,102.02,0.09
210.93,22.17,102.02,0.10
211.05,22.17,102.02,0.12
211.18,22.17,102.02,0.11
211.30,22.17,102.02,0.07
211.42,22.17,102.02,0.02
211.53,22.17,102.02,0.00
211.65,22.17,102.02,-0.04
211.78,22.17,102.02,-0.01
211.90,22.17,102.02,0.07
212.02,22.17,102.02,0.02
212.13,22.17,102.02,0.05
212.25,22.17,102.02,0.06
212.38,22.17,102.02,0.06
212.50,22.17,102.02,0.04
212.62,22.16,102.02,0.13
212.74,22.17,102.02,0.08
212.85,22.17,102.02,0.06
212.98,22.17,102.02,0.04
213.10,22.17,102.02,0.01
213.22,22.16,102.02,0.14
213.34,22.16,102.02,0.07
213.45,22.17,102.02,0.10
213.58,22.16,102.02,0.14
213.70,22.17,102.02,0.17
213.82,22.16,102.02,0.05
213.94,22.17,102.02,0.16
214.05,22.16,102.02,0.12
214.18,22.17,102.02,0.19
214.30,22.17,102.02,0.13
214.42,22.16,102.02,0.14
214.54,22.17,102.02,0.16
214.65,22.16,102.02,0.09
214.78,22.17,102.02,0.07
214.90,22.16,102.02,0.09
215.02,22.16,102.02,0.08
215.14,22.16,102.02,0.04
215.26,22.16,102.02,0.09
215.38,22.17,102.02,0.08
215.50,22.16,102.02,0.09
215.62,22.16,102.02,0.10
215.74,22.16,102.02,0.08
215.86,22.16,102.02,0.08
215.98,22.16,102.02,0.10
216.10,22.17,102.02,0.08
216.22,22.16,102.02,0.09
216.34,22.16,102.02,0.05
216.46,22.16,102.02,0.05
216.58,22.16,102.02,0.10
216.70,22.16,102.02,0.08
216.82,22.16,102.02,0.11
216.94,22.16,102.02,0.15
217.06,22.16,102.02,0.17
217.18,22.16,102.02,0.11
217.30,22.16,102.02,0.13
217.42,22.16,102.02,0.19
217.54,22.16,102.02,0.17
217.66,22.16,102.02,0.14
217.78,22.16,102.02,0.12
217.90,22.16,102.02,0.10
218.02,22.16,102.02,0.03
218.14,22.16,102.02,0.04
218.26,22.16,102.02,0.08
218.38,22.16,102.02,0.05
218.50,22.16,102.02,0.12
218.62,22.16,102.02,0.06
218.74,22.16,102.02,0.07
218.86,22.16,102.02,0.09
218.99,22.16,102.02,0.13
219.10,22.16,102.02,0.11
219.22,22.16,102.02,0.10
219.34,22.16,102.02,0.14
219.46,22.16,102.02,0.07
219.59,22.16,102.02,0.05
219.70,22.16,102.02,-0.01
219.82,22.16,102.02,-0.01
219.94,22.16,102.02,0.02
220.06,22.16,102.02,0.04
220.19,22.16,102.02,0.06
220.30,22.16,102.02,0.06
220.42,22.16,102.02,0.05
220.54,22.16,102.02,0.06
220.66,22.16,102.02,0.07
220.79,22.16,102.02,0.04
220.90,22.16,102.02,0.06
221.02,22.15,102.02,0.04
221.14,22.15,102.02,0.06
221.26,22.15,102.02,0.07
221.39,22.15,102.02,0.00
221.50,22.16,102.02,-0.03
221.62,22.15,102.02,-0.01
221.74,22.16,102.02,0.03
221.86,22.16,102.02,0.04
221.99,22.16,102.02,0.03
222.11,22.16,102.02,0.03
222.22,22.16,102.02,0.03
222.34,22.16,102.02,-0.01
222.46,22.16,102.02,-0.02
222.59,22.16,102.02,-0.02
222.71,22.16,102.02,-0.10
222.82,22.16,102.02,-0.06
222.94,22.16,102.02,0.01
223.06,22.16,102.02,-0.01
223.19,22.16,102.02,0.08
223.31,22.16,102.02,-0.02
223.43,22.16,102.02,0.01
223.54,22.16,102.02,0.04
223.66,22.16,102.02,0.10
223.79,22.15,102.02,0.08
223.91,22.15,102.02,0.08
224.02,22.15,102.02,0.15
224.14,22.15,102.02,0.09
224.26,22.15,102.02,0.12
224.39,22.15,102.02,0.14
224.51,22.15,102.02,0.14
224.63,22.15,102.02,0.10
224.74,22.15,102.02,0.10
224.86,22.15,102.02,0.08
224.99,22.15,102.02,0.01
225.11,22.15,102.02,0.05
225.23,22.15,102.02,-0.03
225.34,22.15,102.02,-0.01
225.46,22.15,102.02,-0.03
225.59,22.15,102.02,0.01
225.71,22.15,102.02,-0.01
225.83,22.15,102.02,-0.11
225.95,22.15,102.02,-0.06
226.06,22.15,102.02,-0.05
226.19,22.15,102.02,0.01
226.31,22.15,102.02,0.05
226.43,22.15,102.02,0.05
226.55,22.15,102.02,0.06
226.66,22.15,102.02,0.13
226.79,22.15,102.02,0.06
226.91,22.15,102.02,0.02
227.03,22.15,102.02,0.03
227.15,22.15,102.02,0.03
227.26,22.15,102.02,0.07
227.39,22.15,102.02,0.07
227.51,22.15,102.02,0.10
227.63,22.15,102.02,0.05
227.75,22.15,102.02,0.03
227.86,22.15,102.02,0.11
227.99,22.15,102.02,0.08
228.11,22.15,102.02,0.14
228.23,22.15,102.02,0.13
228.35,22.15,102.02,0.13
228.47,22.15,102.02,0.19
228.59,22.15,102.02,0.19
228.71,22.15,102.02,0.16
228.83,22.15,102.02,0.18
228.95,22.15,102.02,0.17
229.07,22.15,102.02,0.16
229.19,22.15,102.02,0.14
229.31,22.15,102.02,0.12
229.43,22.15,102.02,0.06
229.55,22.15,102.02,0.13
229.66,22.15,102.02,0.12
229.79,22.15,102.02,0.13
229.91,22.15,102.02,0.05
230.03,22.15,102.02,0.04
230.15,22.15,102.02,0.04
230.27,22.15,102.02,0.10
230.39,22.15,102.02,0.10
230.51,22.15,102.02,0.11
230.63,22.15,102.02,0.16
230.75,22.15,102.02,0.16
230.87,22.15,102.02,0.15
230.99,22.15,102.02,0.17
231.11,22.15,102.02,0.11
231.23,22.15,102.02,0.08
231.35,22.15,102.02,0.13
231.47,22.14,102.02,0.20
231.60,22.15,102.02,0.15
231.71,22.15,102.02,0.13
231.83,22.15,102.02,0.12
231.95,22.14,102.02,0.18
232.07,22.14,102.02,0.18
232.20,22.14,102.02,0.18
232.31,22.14,102.02,0.15
232.43,22.14,102.02,0.16
232.55,22.14,102.02,0.12
232.67,22.15,102.02,0.17
232.80,22.15,102.02,0.21
232.91,22.15,102.02,0.22
233.03,22.14,102.02,0.19
233.15,22.15,102.02,0.12
233.27,22.15,102.02,0.07
233.40,22.15,102.02,0.10
233.51,22.15,102.02,0.13
233.63,22.15,102.02,0.12
233.75,22.15,102.02,0.11
233.87,22.15,102.02,0.11
234.00,22.15,102.02,0.10
234.12,22.15,102.02,0.07
234.23,22.15,102.02,0.02
234.35,22.15,102.02,0.06
234.47,22.15,102.02,0.08
234.60,22.15,102.02,0.08
234.72,22.15,102.02,0.07
234.83,22.15,102.02,0.08
234.95,22.15,102.02,0.07
235.07,22.15,102.02,0.06
235.20,22.15,102.02,0.06
235.32,22.15,102.02,0.11
235.43,22.15,102.02,0.06
235.55,22.14,102.02,0.09
235.67,22.14,102.02,0.13
235.80,22.14,102.02,0.10
235.92,22.14,102.02,0.13
236.03,22.14,102.02,0.11
236.15,22.14,102.02,0.16
236.27,22.14,102.02,0.19
236.40,22.14,102.02,0.18
236.52,22.14,102.02,0.13
236.63,22.14,102.02,0.12
236.75,22.14,102.02,0.10
236.87,22.14,102.02,0.12
237.00,22.14,102.02,0.07
237.12,22.14,102.02,0.08
237.24,22.14,102.02,0.11
237.35,22.14,102.02,0.15
237.47,22.14,102.02,0.20
237.60,22.14,102.02,0.17
237.72,22.14,102.02,0.17
237.84,22.14,102.02,0.13
237.95,22.14,102.02,0.14
238.07,22.14,102.02,0.10
238.20,22.14,102.02,0.09
238.32,22.14,102.02,0.16
238.44,22.14,102.02,0.09
238.55,22.14,102.02,0.10
238.67,22.14,102.02,0.16
238.80,22.14,102.02,0.14
238.92,22.14,102.02,0.09
239.04,22.14,102.02,0.08
239.15,22.14,102.02,0.09
239.27,22.14,102.02,0.06
239.40,22.14,102.02,0.04
239.52,22.14,102.02,0.04
239.64,22.14,102.02,0.06
239.75,22.14,102.02,0.01
239.87,22.14,102.02,0.01
240.00,22.14,102.02,0.05
240.12,22.14,102.02,0.04
240.24,22.14,102.02,0.06
240.35,22.14,102.02,0.07
240.47,22.14,102.02,0.05
240.60,22.14,102.02,0.13
240.72,22.14,102.02,0.05
240.84,22.14,102.02,0.11
240.96,22.14,102.02,-0.01
241.07,22.14,102.02,-0.04
241.20,22.14,102.02,-0.06
241.32,22.14,102.02,0.02
241.44,22.14,102.02,-0.01
241.56,22.14,102.02,0.05
241.67,22.14,102.02,0.12
241.80,22.14,102.02,0.11
241.92,22.14,102.02,0.10
242.04,22.14,102.02,0.06
242.16,22.14,102.02,0.02
242.27,22.14,102.02,0.06
242.40,22.14,102.02,0.06
242.52,22.14,102.02,0.04
242.64,22.14,102.02,0.04
242.76,22.14,102.02,0.08
242.87,22.14,102.02,0.07
243.00,22.14,102.02,0.10
243.12,22.14,102.02,0.09
243.24,22.14,102.02,0.17
243.36,22.14,102.02,0.20
243.48,22.14,102.02,0.23
243.60,22.14,102.02,0.21
243.72,22.14,102.02,0.17
243.84,22.14,102.02,0.15
243.96,22.14,102.02,0.13
244.08,22.14,102.02,0.18
244.20,22.14,102.02,0.15
244.32,22.14,102.02,0.13
244.44,22.14,102.02,0.12
244.56,22.14,102.02,0.17
244.68,22.14,102.02,0.20
244.80,22.14,102.02,0.17
244.92,22.14,102.02,0.15
245.04,22.14,102.02,0.16
245.16,22.14,102.02,0.11
245.28,22.14,102.02,0.07
245.40,22.14,102.02,0.07
245.52,22.14,102.02,0.05
245.64,22.14,102.02,0.16
245.76,22.14,102.02,0.06
245.88,22.14,102.02,0.05
246.00,22.14,102.02,0.07
246.12,22.14,102.02,0.03
246.24,22.14,102.02,0.06
246.36,22.14,102.02,0.08
246.48,22.14,102.02,0.04
246.60,22.14,102.02,0.02
246.72,22.14,102.02,-0.01
246.84,22.14,102.02,0.04
246.96,22.14,102.02,0.03
247.08,22.14,102.02,0.06
247.20,22.14,102.02,0.01
247.32,22.14,102.02,-0.01
247.44,22.14,102.02,0.05
247.56,22.14,102.02,0.05
247.68,22.14,102.02,0.04
247.80,22.14,102.02,0.05
247.92,22.14,102.02,0.05
248.04,22.14,102.02,0.03
248.16,22.14,102.02,0.02
248.28,22.14,102.02,0.04
248.41,22.14,102.02,0.09
248.52,22.14,102.02,0.02
248.64,22.14,102.02,0.03
248.76,22.14,102.02,0.08
248.88,22.14,102.02,0.03
249.01,22.14,102.02,0.06
249.12,22.14,102.02,-0.04
249.24,22.14,102.02,-0.06
249.36,22.14,102.02,-0.02
249.48,22.14,102.02,0.02
249.61,22.14,102.02,-0.02
249.72,22.14,102.02,0.04
249.84,22.14,102.02,0.10
249.96,22.14,102.02,0.07
250.08,22.14,102.02,0.12
250.21,22.14,102.02,0.10
250.32,22.14,102.02,0.07
250.44,22.14,102.02,0.08
250.56,22.14,102.02,0.10
250.68,22.14,102.02,0.15
250.81,22.14,102.02,0.16
250.93,22.14,102.02,0.14
251.04,22.14,102.02,0.06
251.16,22.14,102.02,0.08
251.28,22.14,102.02,0.01
251.41,22.14,102.02,-0.02
251.53,22.14,102.02,-0.01
251.64,22.14,102.02,0.07
251.76,22.14,102.02,0.10
251.88,22.14,102.02,0.07
252.01,22.14,102.02,0.05
252.13,22.14,102.02,0.12
252.24,22.14,102.02,0.15
252.36,22.14,102.02,0.10
252.48,22.14,102.02,0.12
252.61,22.14,102.02,0.16
252.73,22.14,102.02,0.07
252.85,22.14,102.02,0.08
252.96,22.14,102.02,0.16
253.08,22.14,102.02,0.16
253.21,22.14,102.02,0.26
253.33,22.14,102.02,0.26
253.45,22.14,102.02,0.17
253.56,22.14,102.02,0.14
253.68,22.14,102.02,0.11
253.81,22.14,102.02,0.07
253.93,22.14,102.02,0.16
254.05,22.14,102.02,0.22
254.16,22.14,102.02,0.18
254.28,22.14,102.02,0.14
254.41,22.14,102.02,0.10
254.53,22.14,102.02,0.06
254.65,22.14,102.02,0.10
254.76,22.14,102.02,0.10
254.88,22.14,102.02,0.15
255.01,22.14,102.02,0.16
255.13,22.14,102.02,0.17
255.25,22.14,102.02,0.20
255.37,22.14,102.02,0.23
255.48,22.14,102.02,0.21
255.61,22.14,102.02,0.22
255.73,22.14,102.02,0.18
255.85,22.14,102.02,0.15
255.97,22.14,102.02,0.13
256.08,22.14,102.02,0.07
256.21,22.14,102.02,0.05
256.33,22.14,102.02,0.08
256.45,22.14,102.02,0.12
256.57,22.14,102.02,0.08
256.68,22.14,102.02,0.09
256.81,22.14,102.02,0.05
256.93,22.14,102.02,0.06
257.05,22.14,102.02,0.02
257.17,22.14,102.02,0.02
257.28,22.14,102.02,0.04
257.41,22.14,102.02,0.10
257.53,22.14,102.02,0.08
257.65,22.14,102.02,0.10
257.77,22.14,102.02,0.12
257.88,22.14,102.02,0.07
258.01,22.14,102.02,0.09
258.13,22.14,102.02,0.16
258.25,22.14,102.02,0.13
258.37,22.14,102.02,0.19
258.48,22.14,102.02,0.17
258.61,22.14,102.02,0.14
258.73,22.14,102.02,0.14
258.85,22.14,102.02,0.13
258.97,22.14,102.02,0.15
259.08,22.14,102.02,0.15
259.21,22.14,102.02,0.18
259.33,22.13,102.02,0.16
259.45,22.13,102.02,0.19
259.57,22.13,102.02,0.15
259.69,22.13,102.02,0.13
259.81,22.13,102.02,0.20
259.93,22.13,102.02,0.17
260.05,22.13,102.02,0.10
260.17,22.13,102.02,0.13
260.29,22.13,102.02,0.12
260.41,22.13,102.02,0.15
260.53,22.13,102.02,0.22
260.65,22.13,102.02,0.23
260.77,22.13,102.02,0.21
260.89,22.13,102.02,0.22
261.01,22.13,102.02,0.20
261.13,22.13,102.02,0.17
261.25,22.13,102.02,0.16
261.37,22.13,102.02,0.15
261.49,22.13,102.02,0.09
261.61,22.13,102.02,0.12
261.73,22.13,102.02,0.11
261.85,22.13,102.02,0.10
261.97,22.13,102.02,0.15
262.09,22.13,102.02,0.06
262.21,22.13,102.02,0.13
262.33,22.13,102.02,0.14
262.45,22.13,102.02,0.16
262.57,22.13,102.02,0.19
262.69,22.13,102.02,0.21
262.82,22.14,102.02,0.22
262.93,22.14,102.02,0.16
263.05,22.14,102.02,0.16
263.17,22.14,102.02,0.21
263.29,22.14,102.02,0.24
263.42,22.13,102.02,0.17
263.53,22.13,102.02,0.26
263.65,22.13,102.02,0.18
263.77,22.13,102.02,0.20
263.89,22.13,102.02,0.22
264.02,22.13,102.02,0.20
264.13,22.13,102.02,0.22
264.25,22.13,102.02,0.22
264.37,22.13,102.02,0.20
264.49,22.13,102.02,0.16
264.62,22.13,102.02,0.13
264.73,22.13,102.02,0.11
264.85,22.13,102.02,0.13
264.97,22.13,102.02,0.13
265.09,22.13,102.02,0.18
265.22,22.13,102.02,0.15
265.33,22.13,102.02,0.16
265.45,22.13,102.02,0.16
265.57,22.13,102.02,0.16
265.69,22.13,102.02,0.19
265.82,22.13,102.02,0.17
265.94,22.13,102.02,0.15
266.05,22.13,102.02,0.08
266.17,22.13,102.02,0.06
266.29,22.13,102.02,0.10
266.42,22.13,102.02,0.09
266.54,22.13,102.02,0.10
266.65,22.13,102.02,0.08
266.77,22.13,102.02,0.13
266.89,22.13,102.02,0.17
267.02,22.13,102.02,0.18
267.14,22.13,102.02,0.22
267.25,22.13,102.02,0.21
267.37,22.13,102.02,0.24
267.49,22.13,102.02,0.21
267.62,22.13,102.02,0.25
267.74,22.13,102.02,0.22
267.85,22.13,102.02,0.24
267.97,22.13,102.02,0.24
268.09,22.13,102.02,0.18
268.22,22.13,102.02,0.17
268.34,22.13,102.02,0.18
268.45,22.13,102.02,0.16
268.57,22.13,102.02,0.13
268.69,22.13,102.02,0.19
268.82,22.13,102.02,0.13
268.94,22.13,102.02,0.11
269.06,22.13,102.02,0.06
269.17,22.13,102.02,0.11
269.29,22.13,102.02,0.16
269.42,22.13,102.02,0.18
269.54,22.13,102.02,0.15
269.66,22.13,102.02,0.20
269.77,22.13,102.02,0.17
269.89,22.13,102.02,0.21
270.02,22.13,102.02,0.20
270.14,22.13,102.02,0.20
270.26,22.13,102.02,0.17
270.37,22.13,102.02,0.10
270.49,22.13,102.02,0.12
270.62,22.13,102.02,0.13
270.74,22.13,102.02,0.16
270.86,22.13,102.02,0.13
270.97,22.13,102.02,0.12
271.09,22.13,102.02,0.12
271.22,22.13,102.02,0.11
271.34,22.13,102.02,0.15
271.46,22.13,102.02,0.11
271.58,22.13,102.02,0.15
271.69,22.13,102.02,0.17
271.82,22.13,102.02,0.22
271.94,22.13,102.02,0.22
272.06,22.13,102.02,0.18
272.18,22.13,102.02,0.22
272.29,22.13,102.02,0.22
272.42,22.13,102.02,0.17
272.54,22.13,102.02,0.16
272.66,22.13,102.02,0.13
272.78,22.13,102.02,0.15
272.89,22.13,102.02,0.18
273.02,22.13,102.02,0.15
273.14,22.13,102.02,0.16
273.26,22.13,102.02,0.18
273.38,22.13,102.02,0.16
273.50,22.13,102.02,0.16
273.62,22.13,102.02,0.18
273.74,22.13,102.02,0.17
273.86,22.13,102.02,0.20
273.98,22.12,102.02,0.17
274.10,22.12,102.02,0.18
274.22,22.12,102.02,0.20
274.34,22.12,102.02,0.16
274.46,22.12,102.02,0.20
274.58,22.13,102.02,0.13
274.70,22.12,102.02,0.16
274.82,22.12,102.02,0.12
274.94,22.12,102.02,0.08
275.06,22.12,102.02,0.13
275.18,22.12,102.02,0.22
275.30,22.12,102.02,0.22
275.42,22.12,102.02,0.29
275.54,22.12,102.02,0.28
275.66,22.12,102.02,0.18
275.78,22.12,102.02,0.11
275.90,22.12,102.02,0.06
276.02,22.12,102.02,0.07
276.14,22.12,102.02,0.07
276.26,22.12,102.02,0.10
276.38,22.12,102.02,0.17
276.50,22.12,102.02,0.14
276.62,22.12,102.02,0.12
276.74,22.12,102.02,0.13
276.86,22.12,102.02,0.12
276.98,22.12,102.02,0.07
277.10,22.12,102.02,0.06
277.22,22.12,102.02,0.05
277.34,22.12,102.02,-0.01
277.46,22.12,102.02,0.08
277.58,22.12,102.02,0.06
277.70,22.12,102.02,0.10
277.83,22.12,102.02,0.08
277.94,22.12,102.02,0.16
278.06,22.12,102.02,0.13
278.18,22.12,102.02,0.12
278.30,22.12,102.02,0.11
278.42,22.12,102.02,0.13
278.54,22.12,102.02,0.11
278.66,22.12,102.02,0.14
278.78,22.12,102.02,0.19
278.90,22.12,102.02,0.23
279.02,22.12,102.02,0.20
279.14,22.12,102.02,0.20
279.26,22.12,102.02,0.16
279.38,22.12,102.02,0.14
279.50,22.12,102.02,0.10
279.63,22.12,102.02,0.14
279.74,22.12,102.02,0.13
279.86,22.12,102.02,0.06
279.98,22.12,102.02,0.12
280.10,22.12,102.02,0.13
280.23,22.12,102.02,0.08
280.34,22.12,102.02,0.06
280.46,22.12,102.02,0.08
280.58,22.12,102.02,0.11
280.70,22.12,102.02,0.10
280.83,22.12,102.02,0.11
280.95,22.12,102.02,0.13
281.06,22.12,102.02,0.09
281.18,22.12,102.02,0.10
281.30,22.12,102.02,0.09
281.43,22.12,102.02,0.16
281.55,22.12,102.02,0.23
281.66,22.12,102.02,0.16
281.78,22.12,102.02,0.16
281.90,22.12,102.02,0.12
282.03,22.12,102.02,0.11
282.14,22.12,102.02,0.13
282.26,22.12,102.02,0.16
282.38,22.12,102.02,0.11
282.50,22.12,102.02,0.13
282.63,22.12,102.02,0.11
282.75,22.12,102.02,0.08
282.86,22.12,102.02,0.08
282.98,22.12,102.02,0.05
283.10,22.12,102.02,0.08
283.23,22.12,102.02,0.06
283.35,22.12,102.02,0.08
283.46,22.12,102.02,0.15
283.58,22.12,102.02,0.16
283.70,22.12,102.02,0.18
283.83,22.12,102.02,0.14
283.95,22.12,102.02,0.15
284.07,22.12,102.02,0.12
284.18,22.12,102.02,0.14
284.30,22.12,102.02,0.08
284.43,22.12,102.02,0.09
284.55,22.12,102.02,0.13
284.67,22.12,102.02,0.15
284.78,22.12,102.02,0.15
284.90,22.12,102.02,0.15
285.03,22.12,102.02,0.15
285.15,22.12,102.02,0.16
285.27,22.12,102.02,0.17
285.38,22.12,102.02,0.25
285.50,22.12,102.02,0.21
285.63,22.12,102.02,0.11
285.75,22.12,102.02,0.05
285.87,22.12,102.02,0.08
285.98,22.12,102.02,0.07
286.10,22.12,102.02,0.13
286.23,22.12,102.02,0.19
286.35,22.12,102.02,0.19
286.47,22.12,102.02,0.12
286.58,22.12,102.02,0.04
286.70,22.12,102.02,0.03
286.83,22.12,102.02,0.05
286.95,22.12,102.02,0.06
287.07,22.12,102.02,0.11
287.19,22.12,102.02,0.05
287.30,22.12,102.02,0.07
287.43,22.12,102.02,0.10
287.55,22.12,102.02,0.04
287.67,22.12,102.02,0.09
287.79,22.12,102.02,0.08
287.90,22.12,102.02,0.05
288.03,22.12,102.02,0.06
288.15,22.12,102.02,0.03
288.27,22.12,102.02,0.02
288.39,22.12,102.02,0.08
288.50,22.12,102.02,0.11
288.63,22.12,102.02,0.14
288.75,22.12,102.02,0.10
288.87,22.12,102.02,0.14
288.99,22.12,102.02,0.14
289.10,22.12,102.02,0.12
289.23,22.12,102.02,0.07
289.35,22.11,102.02,0.06
289.47,22.11,102.02,0.12
289.59,22.11,102.02,0.13
289.70,22.11,102.02,0.17
289.83,22.11,102.02,0.07
289.95,22.11,102.02,0.07
290.07,22.11,102.02,-0.01
290.19,22.12,102.02,0.02
290.31,22.12,102.02,0.02
290.43,22.11,102.02,0.01
290.55,22.12,102.02,0.02
290.67,22.11,102.02,0.07
290.79,22.12,102.02,0.07
290.91,22.12,102.02,0.07
291.03,22.12,102.02,0.09
291.15,22.12,102.02,0.06
291.27,22.12,102.02,0.08
291.39,22.12,102.02,0.10
291.51,22.12,102.02,0.07
291.63,22.12,102.02,0.06
291.75,22.12,102.02,0.05
291.87,22.12,102.02,-0.02
291.99,22.12,102.02,-0.01
292.11,22.12,102.02,-0.01
292.23,22.12,102.02,-0.08
292.35,22.12,102.02,-0.08
292.47,22.12,102.02,0.02
292.59,22.12,102.02,-0.05
292.71,22.12,102.02,-0.01
292.84,22.12,102.02,-0.05
292.95,22.12,102.02,-0.05
293.07,22.12,102.02,0.00
293.19,22.12,102.02,0.03
293.31,22.12,102.02,0.04
293.44,22.12,102.02,0.16
293.55,22.12,102.02,0.08
293.67,22.12,102.02,0.10
293.79,22.11,102.02,0.07
293.91,22.11,102.02,0.10
294.04,22.11,102.02,0.12
294.16,22.11,102.02,0.11
294.27,22.11,102.02,0.12
294.39,22.11,102.02,0.08
294.51,22.11,102.02,0.10
294.64,22.11,102.02,0.10
294.76,22.11,102.02,0.14
294.87,22.11,102.02,0.16
294.99,22.11,102.02,0.13
295.11,22.11,102.02,0.09
295.24,22.11,102.02,0.12
295.36,22.12,102.02,0.14
295.47,22.11,102.02,0.12
295.59,22.11,102.02,0.07
295.71,22.11,102.02,0.02
295.84,22.12,102.02,0.06
295.95,22.12,102.02,0.09
296.07,22.12,102.02,0.03
296.19,22.12,102.02,0.08
296.31,22.12,102.02,-0.01
296.44,22.12,102.02,-0.05
296.56,22.12,102.02,0.07
296.67,22.12,102.02,0.02
296.79,22.12,102.02,0.03
296.91,22.12,102.02,0.03
297.04,22.12,102.02,0.02
297.16,22.12,102.02,0.04
297.27,22.11,102.02,0.09
297.39,22.11,102.02,0.18
297.51,22.11,102.02,0.15
297.64,22.11,102.02,0.10
297.76,22.11,102.02,0.06
297.88,22.11,102.02,0.07
297.99,22.11,102.02,0.10
298.11,22.11,102.02,0.12
298.24,22.11,102.02,0.10
298.36,22.11,102.02,0.20
298.48,22.11,102.02,0.17
298.59,22.11,102.02,0.24
298.71,22.11,102.02,0.22
