=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.14 11:03:16 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit BMP388 / BMP390 test
Temp(C),Press(kPa),CalculatedAlt(m)
74.33,22.17,102.02,-57.83
74.45,22.17,102.02,-57.91
74.57,22.17,102.02,-57.89
74.70,22.17,102.02,-57.96
74.82,22.17,102.02,-57.93
74.94,22.17,102.02,-57.88
75.05,22.17,102.02,-57.83
75.17,22.17,102.02,-57.83
75.30,22.17,102.02,-57.89
75.42,22.17,102.02,-57.88
75.54,22.17,102.02,-57.82
75.65,22.17,102.02,-57.89
75.77,22.17,102.02,-57.81
75.90,22.17,102.02,-57.90
76.02,22.17,102.02,-57.91
76.14,22.17,102.02,-57.90
76.26,22.17,102.02,-57.91
76.37,22.17,102.02,-57.88
76.50,22.17,102.02,-57.90
76.62,22.17,102.02,-57.86
76.74,22.17,102.02,-57.87
76.86,22.17,102.02,-57.85
76.98,22.17,102.02,-57.84
77.10,22.17,102.02,-57.82
77.22,22.17,102.02,-57.88
77.34,22.17,102.02,-57.81
77.46,22.17,102.02,-57.82
77.58,22.17,102.02,-57.81
77.70,22.17,102.02,-57.84
77.82,22.17,102.02,-57.83
77.94,22.17,102.02,-57.83
78.06,22.17,102.02,-57.84
78.18,22.16,102.02,-57.82
78.31,22.16,102.02,-57.84
78.42,22.16,102.02,-57.87
78.54,22.17,102.02,-57.86
78.66,22.17,102.02,-57.83
78.78,22.16,102.02,-57.82
78.91,22.16,102.02,-57.87
79.02,22.16,102.02,-57.84
79.14,22.16,102.02,-57.81
79.26,22.16,102.02,-57.84
79.38,22.16,102.02,-57.88
79.51,22.16,102.02,-57.93
79.63,22.17,102.02,-57.87
79.75,22.17,102.02,-57.90
79.86,22.17,102.02,-57.86
79.98,22.17,102.02,-57.87
80.11,22.17,102.02,-57.80
80.23,22.17,102.02,-57.78
80.35,22.17,102.02,-57.81
80.46,22.17,102.02,-57.77
80.58,22.17,102.02,-57.72
80.71,22.17,102.02,-57.78
80.83,22.17,102.02,-57.82
80.95,22.17,102.02,-57.80
81.06,22.17,102.02,-57.81
81.18,22.16,102.02,-57.80
81.31,22.16,102.02,-57.77
81.43,22.16,102.02,-57.73
81.55,22.16,102.02,-57.75
81.67,22.16,102.02,-57.78
81.78,22.16,102.02,-57.77
81.91,22.16,102.02,-57.77
82.03,22.16,102.02,-57.76
82.15,22.16,102.02,-57.83
82.27,22.16,102.02,-57.83
82.38,22.16,102.02,-57.79
82.51,22.16,102.02,-57.73
82.63,22.16,102.02,-57.71
82.75,22.16,102.02,-57.70
82.87,22.16,102.02,-57.75
82.99,22.16,102.02,-57.77
83.11,22.16,102.02,-57.75
83.23,22.16,102.02,-57.71
83.35,22.16,102.02,-57.78
83.47,22.16,102.02,-57.78
83.59,22.16,102.02,-57.78
83.72,22.16,102.02,-57.71
83.83,22.16,102.02,-57.68
83.95,22.16,102.02,-57.68
84.07,22.16,102.02,-57.73
84.19,22.16,102.02,-57.71
84.32,22.16,102.02,-57.81
84.43,22.16,102.02,-57.81
84.55,22.16,102.02,-57.77
84.67,22.16,102.02,-57.73
84.79,22.16,102.02,-57.67
84.92,22.16,102.02,-57.76
85.04,22.16,102.02,-57.71
85.15,22.16,102.02,-57.73
85.27,22.16,102.02,-57.73
85.39,22.16,102.02,-57.72
85.52,22.16,102.02,-57.76
85.64,22.16,102.02,-57.74
85.75,22.16,102.02,-57.74
85.87,22.16,102.02,-57.75
85.99,22.16,102.02,-57.83
86.12,22.16,102.02,-57.78
86.24,22.16,102.02,-57.82
86.36,22.16,102.02,-57.79
86.47,22.16,102.02,-57.78
86.59,22.16,102.02,-57.74
86.72,22.16,102.02,-57.82
86.84,22.16,102.02,-57.78
86.96,22.16,102.02,-57.69
87.07,22.16,102.02,-57.69
87.19,22.16,102.02,-57.70
87.32,22.16,102.02,-57.75
87.44,22.16,102.02,-57.70
87.56,22.16,102.02,-57.67
87.68,22.16,102.02,-57.70
87.79,22.16,102.02,-57.77
87.92,22.16,102.02,-57.77
88.04,22.16,102.02,-57.77
88.16,22.16,102.02,-57.84
88.28,22.16,102.02,-57.82
88.40,22.16,102.02,-57.80
88.52,22.16,102.02,-57.77
88.64,22.16,102.02,-57.85
88.76,22.16,102.02,-57.83
88.88,22.16,102.02,-57.81
89.00,22.16,102.02,-57.81
89.12,22.16,102.02,-57.82
89.24,22.16,102.02,-57.81
89.36,22.16,102.02,-57.79
89.48,22.16,102.02,-57.83
89.60,22.16,102.02,-57.83
89.73,22.16,102.02,-57.80
89.84,22.16,102.02,-57.74
89.96,22.16,102.02,-57.79
90.08,22.16,102.02,-57.78
90.20,22.16,102.02,-57.80
90.33,22.15,102.02,-57.74
90.44,22.15,102.02,-57.78
90.56,22.15,102.02,-57.75
90.68,22.15,102.02,-57.75
90.80,22.15,102.02,-57.74
90.93,22.15,102.02,-57.74
91.05,22.15,102.02,-57.78
91.16,22.15,102.02,-57.83
91.28,22.15,102.02,-57.79
91.40,22.15,102.02,-57.77
91.53,22.15,102.02,-57.72
91.65,22.15,102.02,-57.76
91.77,22.15,102.02,-57.78
91.88,22.15,102.02,-57.75
92.00,22.15,102.02,-57.71
92.13,22.15,102.02,-57.70
92.25,22.15,102.02,-57.69
92.37,22.15,102.02,-57.68
92.48,22.15,102.02,-57.80
92.60,22.15,102.02,-57.82
92.73,22.15,102.02,-57.75
92.85,22.15,102.02,-57.78
92.97,22.15,102.02,-57.79
93.09,22.15,102.02,-57.72
93.20,22.15,102.02,-57.75
93.33,22.15,102.02,-57.73
93.45,22.15,102.02,-57.75
93.57,22.15,102.02,-57.79
93.69,22.15,102.02,-57.78
93.81,22.15,102.02,-57.69
93.93,22.15,102.02,-57.71
94.05,22.15,102.02,-57.74
94.17,22.15,102.02,-57.75
94.29,22.15,102.02,-57.72
94.41,22.15,102.02,-57.65
94.54,22.15,102.02,-57.66
94.65,22.15,102.02,-57.64
94.77,22.15,102.02,-57.69
94.89,22.15,102.02,-57.68
95.01,22.15,102.02,-57.69
95.14,22.15,102.02,-57.60
95.25,22.15,102.02,-57.65
95.37,22.15,102.02,-57.68
95.49,22.15,102.02,-57.72
95.61,22.15,102.02,-57.71
95.74,22.15,102.02,-57.72
95.86,22.15,102.02,-57.74
95.97,22.15,102.02,-57.71
96.09,22.15,102.02,-57.73
96.21,22.15,102.02,-57.67
96.34,22.15,102.02,-57.71
96.46,22.15,102.02,-57.71
96.57,22.15,102.02,-57.66
